GAME,RADIANT,RADIANT_KILLS,RADIANT_DEATHS,RADIANT_ASSISTS,HEROES,RADIANT_DAMAGE,DIRE,DIRE_KILLS,DIRE_DEATHS,DIRE_ASSISTS,DIRE_DAMAGE,WINNING_PLAYERS
,Winner: ,Radiant,,,,,,,,,,
62,Bsu,6,6,6,doom,28611,tpham,8,5,18,44032,tpham
,dream,4,7,8,spectre,36330,Nixnala,5,2,20,20780,Nixnala
,Paper,1,11,9,cm,13085,Remia,3,4,19,17343,Remia
,Polar,0,7,9,underlord,36658,Miyuki,5,2,10,15505,Miyuki
,pain peko,3,4,7,warlock,13026,Yoshioka,13,2,12,43134,Yoshioka
,Winner: ,Dire,,,,,,,,,,
63,pain peko,4,9,7,phoenix,15129,Bsu,10,1,10,41527,Bsu
,dream,2,7,12,mars,11580,Polar,4,3,14,27456,Polar
,Remia,4,4,3,axe,14156,Monta,1,7,18,10915,Monta
,tpham,3,7,3,troll,21150,Yoshioka,13,2,12,30619,Yoshioka
,Paper,0,10,5,jakiro,9487,Miyuki,8,2,13,16265,Miyuki
,Winner: ,Dire,,,,,,,,,,
64,Bsu,15,1,5,sven,32047,Yoshioka,1,2,10,40530,Bsu
,Monta,3,1,12,doom,8336,dream,8,4,8,25114,Monta
,geese,8,6,13,grim,18544,Lester,2,9,5,5557,geese
